name,artist,release_date,popularity,id,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
We Belong Together,Mariah Carey,2005-04-12,72,3LmvfNUQtglbTrydsdIqFU,"['dance pop', 'pop', 'urban contemporary']",0.837,0.462,0,-7.89,1,0.0601,0.0339,0.0,0.09,0.762,139.986,audio_features,spotify:track:3LmvfNUQtglbTrydsdIqFU,https://api.spotify.com/v1/tracks/3LmvfNUQtglbTrydsdIqFU,https://api.spotify.com/v1/audio-analysis/3LmvfNUQtglbTrydsdIqFU,201400,4
Better Together,Jack Johnson,2005-01-01,72,4VywXu6umkIQ2OS0m1I79y,['neo mellow'],0.868,0.347,5,-9.529,1,0.0536,0.308,2e-05,0.11,0.659,110.059,audio_features,spotify:track:4VywXu6umkIQ2OS0m1I79y,https://api.spotify.com/v1/tracks/4VywXu6umkIQ2OS0m1I79y,https://api.spotify.com/v1/audio-analysis/4VywXu6umkIQ2OS0m1I79y,207680,4
Candy Shop,50 Cent,2005-03-03,81,5D2mYZuzcgjpchVY1pmTPh,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",0.614,0.574,11,-7.961,1,0.466,0.0253,3.2e-05,0.38,0.755,125.173,audio_features,spotify:track:5D2mYZuzcgjpchVY1pmTPh,https://api.spotify.com/v1/tracks/5D2mYZuzcgjpchVY1pmTPh,https://api.spotify.com/v1/audio-analysis/5D2mYZuzcgjpchVY1pmTPh,209107,5
Animals,Nickelback,2005-09-26,70,3rjM7GhxdVq1YySsHBs21i,"['alternative metal', 'canadian rock', 'post-grunge']",0.572,0.961,7,-3.089,1,0.0625,0.000734,0.021,0.207,0.818,76.998,audio_features,spotify:track:3rjM7GhxdVq1YySsHBs21i,https://api.spotify.com/v1/tracks/3rjM7GhxdVq1YySsHBs21i,https://api.spotify.com/v1/audio-analysis/3rjM7GhxdVq1YySsHBs21i,186600,4
Hidden In the Sand,Tally Hall,2005-10-24,76,0RjG5JmdOWXAR68dGlKBA5,"['ann arbor indie', 'pov: indie']",0.547,0.287,6,-12.28,1,0.149,0.514,0.774,0.119,0.177,120.792,audio_features,spotify:track:0RjG5JmdOWXAR68dGlKBA5,https://api.spotify.com/v1/tracks/0RjG5JmdOWXAR68dGlKBA5,https://api.spotify.com/v1/audio-analysis/0RjG5JmdOWXAR68dGlKBA5,112960,4
Banana Pancakes,Jack Johnson,2005-01-01,71,451GvHwY99NKV4zdKPRWmv,['neo mellow'],0.816,0.375,7,-8.053,1,0.0996,0.607,8.66e-06,0.0933,0.615,114.303,audio_features,spotify:track:451GvHwY99NKV4zdKPRWmv,https://api.spotify.com/v1/tracks/451GvHwY99NKV4zdKPRWmv,https://api.spotify.com/v1/audio-analysis/451GvHwY99NKV4zdKPRWmv,191907,4
Lonely Day,System Of A Down,2005-11-22,78,1VNWaY3uNfoeWqb5U8x2QX,"['alternative metal', 'nu metal', 'rap metal', 'rock']",0.47,0.796,8,-3.277,0,0.0336,0.362,1.1e-06,0.133,0.215,113.108,audio_features,spotify:track:1VNWaY3uNfoeWqb5U8x2QX,https://api.spotify.com/v1/tracks/1VNWaY3uNfoeWqb5U8x2QX,https://api.spotify.com/v1/audio-analysis/1VNWaY3uNfoeWqb5U8x2QX,167907,3
Rockstar,Nickelback,2005-09-26,70,6n9yCXvLhnYMgJIiIcMu7D,"['alternative metal', 'canadian rock', 'post-grunge']",0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.072,audio_features,spotify:track:6n9yCXvLhnYMgJIiIcMu7D,https://api.spotify.com/v1/tracks/6n9yCXvLhnYMgJIiIcMu7D,https://api.spotify.com/v1/audio-analysis/6n9yCXvLhnYMgJIiIcMu7D,252040,4
Cupid's Chokehold / Breakfast in America,Gym Class Heroes,2005-02-22,77,2Lhdl74nwwVGOE2Gv35QuK,"['dance pop', 'pop rap']",0.72,0.744,1,-6.938,0,0.12,0.237,0.0,0.255,0.619,78.953,audio_features,spotify:track:2Lhdl74nwwVGOE2Gv35QuK,https://api.spotify.com/v1/tracks/2Lhdl74nwwVGOE2Gv35QuK,https://api.spotify.com/v1/audio-analysis/2Lhdl74nwwVGOE2Gv35QuK,243773,4
Beverly Hills,Weezer,2005-05-10,72,1yKu2MhpwzDXXH2tzG6xoa,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",0.693,0.823,5,-3.761,1,0.0726,0.0932,0.0,0.328,0.741,87.904,audio_features,spotify:track:1yKu2MhpwzDXXH2tzG6xoa,https://api.spotify.com/v1/tracks/1yKu2MhpwzDXXH2tzG6xoa,https://api.spotify.com/v1/audio-analysis/1yKu2MhpwzDXXH2tzG6xoa,196093,4
Lips Of An Angel,Hinder,2005-01-01,73,40LQiUUUKXVGyNs09lHVjW,"['alternative metal', 'nu metal', 'post-grunge']",0.476,0.736,2,-5.38,1,0.0343,0.0217,1.08e-06,0.203,0.251,129.084,audio_features,spotify:track:40LQiUUUKXVGyNs09lHVjW,https://api.spotify.com/v1/tracks/40LQiUUUKXVGyNs09lHVjW,https://api.spotify.com/v1/audio-analysis/40LQiUUUKXVGyNs09lHVjW,261853,4
Touch The Sky,Kanye West,2005-08-30,74,2dxjKgT0li4qBI3QwuN9Ih,"['chicago rap', 'hip hop', 'rap']",0.552,0.846,9,-4.912,1,0.342,0.0114,0.0,0.309,0.554,98.56,audio_features,spotify:track:2dxjKgT0li4qBI3QwuN9Ih,https://api.spotify.com/v1/tracks/2dxjKgT0li4qBI3QwuN9Ih,https://api.spotify.com/v1/audio-analysis/2dxjKgT0li4qBI3QwuN9Ih,236600,1
Remedy,Seether,2005-01-01,71,5ynxx6zC4dgzsMHLYQ04Dc,"['alternative metal', 'nu metal', 'post-grunge', 'south african rock']",0.55,0.952,8,-4.664,1,0.0924,0.000193,0.000666,0.0614,0.391,127.804,audio_features,spotify:track:5ynxx6zC4dgzsMHLYQ04Dc,https://api.spotify.com/v1/tracks/5ynxx6zC4dgzsMHLYQ04Dc,https://api.spotify.com/v1/audio-analysis/5ynxx6zC4dgzsMHLYQ04Dc,207213,4
B.Y.O.B.,System Of A Down,2005-05-17,78,0EYOdF5FCkgOJJla8DI2Md,"['alternative metal', 'nu metal', 'rap metal', 'rock']",0.538,0.981,1,-2.688,0,0.14,0.00662,0.0,0.219,0.711,101.414,audio_features,spotify:track:0EYOdF5FCkgOJJla8DI2Md,https://api.spotify.com/v1/tracks/0EYOdF5FCkgOJJla8DI2Md,https://api.spotify.com/v1/audio-analysis/0EYOdF5FCkgOJJla8DI2Md,255467,4
Move Along,The All-American Rejects,2005-01-01,69,2l57cfmCnOkwNX1tky02n1,"['alternative metal', 'modern rock', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge']",0.518,0.916,3,-3.858,1,0.0454,0.000148,0.0,0.291,0.646,109.864,audio_features,spotify:track:2l57cfmCnOkwNX1tky02n1,https://api.spotify.com/v1/tracks/2l57cfmCnOkwNX1tky02n1,https://api.spotify.com/v1/audio-analysis/2l57cfmCnOkwNX1tky02n1,238880,4
Ella Y Yo - Featuring Don Omar,Aventura,2005-04-26,80,6G4U9avyBNEfP0fAIduev3,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",0.732,0.708,9,-7.905,0,0.262,0.534,0.0,0.237,0.717,175.924,audio_features,spotify:track:6G4U9avyBNEfP0fAIduev3,https://api.spotify.com/v1/tracks/6G4U9avyBNEfP0fAIduev3,https://api.spotify.com/v1/audio-analysis/6G4U9avyBNEfP0fAIduev3,267787,4
Fix You,Coldplay,2005-06-07,84,7LVHVU3tWfcxj5aiPFEW4Q,"['permanent wave', 'pop']",0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,audio_features,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/tracks/7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/audio-analysis/7LVHVU3tWfcxj5aiPFEW4Q,295533,4
As Good As I Once Was,Toby Keith,2005-01-01,71,7G6l2FtQyRhQgYgut2I6i8,"['classic oklahoma country', 'contemporary country', 'country', 'country road']",0.68,0.87,5,-4.461,1,0.0393,0.266,0.0,0.109,0.646,119.075,audio_features,spotify:track:7G6l2FtQyRhQgYgut2I6i8,https://api.spotify.com/v1/tracks/7G6l2FtQyRhQgYgut2I6i8,https://api.spotify.com/v1/audio-analysis/7G6l2FtQyRhQgYgut2I6i8,227840,4
Boondocks,Little Big Town,2005-01-01,70,3duP6mBVDsHM8ioN7o7dAK,"['contemporary country', 'country', 'country dawn', 'country road']",0.41,0.78,9,-5.391,1,0.0332,0.211,0.0,0.48,0.695,88.016,audio_features,spotify:track:3duP6mBVDsHM8ioN7o7dAK,https://api.spotify.com/v1/tracks/3duP6mBVDsHM8ioN7o7dAK,https://api.spotify.com/v1/audio-analysis/3duP6mBVDsHM8ioN7o7dAK,272347,4
I'm Sprung,T-Pain,2005-12-06,72,0DLOyyQvwPTSDKuhpzMMwA,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",0.728,0.327,0,-11.596,0,0.0999,0.0948,0.0,0.103,0.195,100.0,audio_features,spotify:track:0DLOyyQvwPTSDKuhpzMMwA,https://api.spotify.com/v1/tracks/0DLOyyQvwPTSDKuhpzMMwA,https://api.spotify.com/v1/audio-analysis/0DLOyyQvwPTSDKuhpzMMwA,231040,4
Pump It,Black Eyed Peas,2005-01-01,70,6btyEL6NwUa97Nex9cZFvo,"['dance pop', 'pop', 'pop rap']",0.649,0.931,1,-3.15,0,0.181,0.0093,0.0,0.751,0.744,153.645,audio_features,spotify:track:6btyEL6NwUa97Nex9cZFvo,https://api.spotify.com/v1/tracks/6btyEL6NwUa97Nex9cZFvo,https://api.spotify.com/v1/audio-analysis/6btyEL6NwUa97Nex9cZFvo,213067,4
Run It! (feat. Juelz Santana),Chris Brown,2005,75,7xYnUQigPoIDAMPVK79NEq,"['pop rap', 'r&b', 'rap']",0.846,0.482,1,-6.721,0,0.129,0.0246,0.0,0.393,0.212,100.969,audio_features,spotify:track:7xYnUQigPoIDAMPVK79NEq,https://api.spotify.com/v1/tracks/7xYnUQigPoIDAMPVK79NEq,https://api.spotify.com/v1/audio-analysis/7xYnUQigPoIDAMPVK79NEq,229867,4
Yo (Excuse Me Miss),Chris Brown,2005,73,7DFnq8FYhHMCylykf6ZCxA,"['pop rap', 'r&b', 'rap']",0.536,0.612,4,-5.847,1,0.272,0.119,0.0,0.209,0.57,86.768,audio_features,spotify:track:7DFnq8FYhHMCylykf6ZCxA,https://api.spotify.com/v1/tracks/7DFnq8FYhHMCylykf6ZCxA,https://api.spotify.com/v1/audio-analysis/7DFnq8FYhHMCylykf6ZCxA,229040,4
Just A Lil Bit,50 Cent,2005-03-03,79,4nva9EpKntUTs6CRSGBCn9,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,audio_features,spotify:track:4nva9EpKntUTs6CRSGBCn9,https://api.spotify.com/v1/tracks/4nva9EpKntUTs6CRSGBCn9,https://api.spotify.com/v1/audio-analysis/4nva9EpKntUTs6CRSGBCn9,237707,4
Tequila Makes Her Clothes Fall Off,Joe Nichols,2005-01-01,70,6IC6VhpV7D8T1t037Atqpu,"['arkansas country', 'contemporary country', 'country', 'country road']",0.664,0.706,2,-7.045,1,0.027,0.129,1.06e-06,0.0857,0.681,93.968,audio_features,spotify:track:6IC6VhpV7D8T1t037Atqpu,https://api.spotify.com/v1/tracks/6IC6VhpV7D8T1t037Atqpu,https://api.spotify.com/v1/audio-analysis/6IC6VhpV7D8T1t037Atqpu,187053,4
Best of You,Foo Fighters,2005-06-14,77,5FZxsHWIvUsmSK1IAvm2pp,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,audio_features,spotify:track:5FZxsHWIvUsmSK1IAvm2pp,https://api.spotify.com/v1/tracks/5FZxsHWIvUsmSK1IAvm2pp,https://api.spotify.com/v1/audio-analysis/5FZxsHWIvUsmSK1IAvm2pp,255627,4
Happy?,Mudvayne,2005,72,0INUE1K7cEiE8VH63Rv5RJ,"['alternative metal', 'industrial metal', 'nu metal', 'rap metal']",0.546,0.97,5,-2.661,0,0.097,0.000823,2.08e-05,0.275,0.383,100.065,audio_features,spotify:track:0INUE1K7cEiE8VH63Rv5RJ,https://api.spotify.com/v1/tracks/0INUE1K7cEiE8VH63Rv5RJ,https://api.spotify.com/v1/audio-analysis/0INUE1K7cEiE8VH63Rv5RJ,216427,4
Don't Cha,The Pussycat Dolls,2005-01-01,68,1gZ7i4qxXkHZb1r6eioaAP,"['dance pop', 'girl group', 'pop']",0.877,0.637,1,-3.493,0,0.101,0.00516,2.5e-06,0.0959,0.569,119.988,audio_features,spotify:track:1gZ7i4qxXkHZb1r6eioaAP,https://api.spotify.com/v1/tracks/1gZ7i4qxXkHZb1r6eioaAP,https://api.spotify.com/v1/audio-analysis/1gZ7i4qxXkHZb1r6eioaAP,272080,4
The Bidding,Tally Hall,2005-10-24,73,0HBrtXJohbIW4IhPZ50GmH,"['ann arbor indie', 'pov: indie']",0.538,0.607,9,-5.261,0,0.216,0.248,5.54e-06,0.0999,0.515,175.424,audio_features,spotify:track:0HBrtXJohbIW4IhPZ50GmH,https://api.spotify.com/v1/tracks/0HBrtXJohbIW4IhPZ50GmH,https://api.spotify.com/v1/audio-analysis/0HBrtXJohbIW4IhPZ50GmH,160613,4
You And Me,Lifehouse,2005-03-22,76,0815caqt2Lytro5EIzMufT,"['neo mellow', 'pop rock', 'post-grunge']",0.459,0.427,7,-7.734,1,0.0267,0.114,0.0,0.168,0.354,139.902,audio_features,spotify:track:0815caqt2Lytro5EIzMufT,https://api.spotify.com/v1/tracks/0815caqt2Lytro5EIzMufT,https://api.spotify.com/v1/audio-analysis/0815caqt2Lytro5EIzMufT,195493,3
DARE,Gorillaz,2005-05-23,75,4Hff1IjRbLGeLgFgxvHflk,"['alternative hip hop', 'modern rock', 'rock']",0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,audio_features,spotify:track:4Hff1IjRbLGeLgFgxvHflk,https://api.spotify.com/v1/tracks/4Hff1IjRbLGeLgFgxvHflk,https://api.spotify.com/v1/audio-analysis/4Hff1IjRbLGeLgFgxvHflk,245000,4
I Will Follow You into the Dark,Death Cab for Cutie,2005-08-29,67,3kZC0ZmFWrEHdUCmUqlvgZ,"['alternative rock', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'seattle indie', 'washington indie']",0.517,0.206,5,-12.233,1,0.0421,0.924,0.0,0.118,0.489,80.401,audio_features,spotify:track:3kZC0ZmFWrEHdUCmUqlvgZ,https://api.spotify.com/v1/tracks/3kZC0ZmFWrEHdUCmUqlvgZ,https://api.spotify.com/v1/audio-analysis/3kZC0ZmFWrEHdUCmUqlvgZ,189187,4
Promiscuous,Nelly Furtado,2006-01-01,85,2gam98EZKrF9XuOkU13ApN,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,audio_features,spotify:track:2gam98EZKrF9XuOkU13ApN,https://api.spotify.com/v1/tracks/2gam98EZKrF9XuOkU13ApN,https://api.spotify.com/v1/audio-analysis/2gam98EZKrF9XuOkU13ApN,242293,4
Our Song,Taylor Swift,2006-10-24,76,15DeqWWQB4dcEWzJg15VrN,['pop'],0.668,0.672,2,-4.931,1,0.0303,0.111,0.0,0.329,0.539,89.011,audio_features,spotify:track:15DeqWWQB4dcEWzJg15VrN,https://api.spotify.com/v1/tracks/15DeqWWQB4dcEWzJg15VrN,https://api.spotify.com/v1/audio-analysis/15DeqWWQB4dcEWzJg15VrN,201107,4
Teenagers,My Chemical Romance,2006-10-23,81,7j31rVgGX9Q2blT92VBEA0,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']",0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647,audio_features,spotify:track:7j31rVgGX9Q2blT92VBEA0,https://api.spotify.com/v1/tracks/7j31rVgGX9Q2blT92VBEA0,https://api.spotify.com/v1/audio-analysis/7j31rVgGX9Q2blT92VBEA0,161920,4
Maneater,Nelly Furtado,2006-01-01,82,4wH4dJgrsxONID6KS2tDQM,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",0.796,0.777,6,-4.81,1,0.0397,0.0261,0.000358,0.121,0.787,132.722,audio_features,spotify:track:4wH4dJgrsxONID6KS2tDQM,https://api.spotify.com/v1/tracks/4wH4dJgrsxONID6KS2tDQM,https://api.spotify.com/v1/audio-analysis/4wH4dJgrsxONID6KS2tDQM,258893,4
Me & U,Cassie,2006-08-07,79,7k6IzwMGpxnRghE7YosnXT,"['dance pop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']",0.803,0.454,8,-4.802,0,0.0294,0.352,0.0,0.0655,0.739,99.99,audio_features,spotify:track:7k6IzwMGpxnRghE7YosnXT,https://api.spotify.com/v1/tracks/7k6IzwMGpxnRghE7YosnXT,https://api.spotify.com/v1/audio-analysis/7k6IzwMGpxnRghE7YosnXT,192213,4
Face Down,The Red Jumpsuit Apparatus,2006-01-01,77,4wzjNqjKAKDU82e8uMhzmr,"['alternative metal', 'neon pop punk', 'pop punk', 'post-grunge', 'screamo']",0.545,0.932,7,-2.189,0,0.0399,0.000665,0.0,0.127,0.464,92.956,audio_features,spotify:track:4wzjNqjKAKDU82e8uMhzmr,https://api.spotify.com/v1/tracks/4wzjNqjKAKDU82e8uMhzmr,https://api.spotify.com/v1/audio-analysis/4wzjNqjKAKDU82e8uMhzmr,192000,4
Smack That,Akon,2006-01-01,84,2kQuhkFX7uSVepCD3h29g5,['dance pop'],0.939,0.742,5,-5.171,0,0.0467,0.321,0.0,0.107,0.924,118.978,audio_features,spotify:track:2kQuhkFX7uSVepCD3h29g5,https://api.spotify.com/v1/tracks/2kQuhkFX7uSVepCD3h29g5,https://api.spotify.com/v1/audio-analysis/2kQuhkFX7uSVepCD3h29g5,212360,4
Cherry Waves,Deftones,2006-10-25,76,70L6nHORQsblY813yNqUR3,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",0.47,0.859,2,-3.663,1,0.0537,0.000362,0.00691,0.142,0.17,124.01,audio_features,spotify:track:70L6nHORQsblY813yNqUR3,https://api.spotify.com/v1/tracks/70L6nHORQsblY813yNqUR3,https://api.spotify.com/v1/audio-analysis/70L6nHORQsblY813yNqUR3,317707,4
The Sweet Escape,Gwen Stefani,2006-01-01,74,66ZcOcouenzZEnzTJvoFmH,"['dance pop', 'pop']",0.756,0.77,1,-3.502,1,0.0343,0.191,0.0,0.178,0.73,119.961,audio_features,spotify:track:66ZcOcouenzZEnzTJvoFmH,https://api.spotify.com/v1/tracks/66ZcOcouenzZEnzTJvoFmH,https://api.spotify.com/v1/audio-analysis/66ZcOcouenzZEnzTJvoFmH,246467,4
Put Your Records On,Corinne Bailey Rae,2006-01-01,80,2nGFzvICaeEWjIrBrL2RAx,"['british soul', 'neo soul', 'pop soul', 'soul']",0.739,0.511,9,-7.844,1,0.0362,0.167,1.34e-06,0.133,0.542,96.038,audio_features,spotify:track:2nGFzvICaeEWjIrBrL2RAx,https://api.spotify.com/v1/tracks/2nGFzvICaeEWjIrBrL2RAx,https://api.spotify.com/v1/audio-analysis/2nGFzvICaeEWjIrBrL2RAx,215360,4
Chasing Cars,Snow Patrol,2006-01-01,82,5hnyJvgoWiQUYZttV4wXy6,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']",0.56,0.595,9,-4.53,1,0.0274,0.199,6.47e-05,0.132,0.144,104.011,audio_features,spotify:track:5hnyJvgoWiQUYZttV4wXy6,https://api.spotify.com/v1/tracks/5hnyJvgoWiQUYZttV4wXy6,https://api.spotify.com/v1/audio-analysis/5hnyJvgoWiQUYZttV4wXy6,267960,4
Animal I Have Become,Three Days Grace,2006-06-25,75,56sk7jBpZV0CD31G9hEU3b,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge', 'rock']",0.553,0.853,8,-3.668,1,0.0339,0.000684,0.0,0.126,0.506,122.023,audio_features,spotify:track:56sk7jBpZV0CD31G9hEU3b,https://api.spotify.com/v1/tracks/56sk7jBpZV0CD31G9hEU3b,https://api.spotify.com/v1/audio-analysis/56sk7jBpZV0CD31G9hEU3b,231400,4
When You Were Young,The Killers,2006-09-27,78,70wYA8oYHoMzhRRkARoMhU,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.433,audio_features,spotify:track:70wYA8oYHoMzhRRkARoMhU,https://api.spotify.com/v1/tracks/70wYA8oYHoMzhRRkARoMhU,https://api.spotify.com/v1/audio-analysis/70wYA8oYHoMzhRRkARoMhU,220427,4
Glamorous,Fergie,2006-09-13,72,4KTtYhxFtFL7mBwnjkKfLm,"['dance pop', 'pop']",0.81,0.755,0,-6.408,1,0.199,0.291,0.0,0.0857,0.625,130.991,audio_features,spotify:track:4KTtYhxFtFL7mBwnjkKfLm,https://api.spotify.com/v1/tracks/4KTtYhxFtFL7mBwnjkKfLm,https://api.spotify.com/v1/audio-analysis/4KTtYhxFtFL7mBwnjkKfLm,246573,4
The Diary of Jane - Single Version,Breaking Benjamin,2006-01-01,75,0faXHILILebCGnJBPU6KJJ,"['alternative metal', 'nu metal', 'post-grunge']",0.392,0.964,10,-4.441,0,0.0644,7.13e-05,0.0387,0.106,0.269,167.024,audio_features,spotify:track:0faXHILILebCGnJBPU6KJJ,https://api.spotify.com/v1/tracks/0faXHILILebCGnJBPU6KJJ,https://api.spotify.com/v1/audio-analysis/0faXHILILebCGnJBPU6KJJ,200547,4
Crazy,Gnarls Barkley,2006-05-02,74,2N5zMZX7YeL1tico8oQxa9,"['atl hip hop', 'neo soul']",0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963,audio_features,spotify:track:2N5zMZX7YeL1tico8oQxa9,https://api.spotify.com/v1/tracks/2N5zMZX7YeL1tico8oQxa9,https://api.spotify.com/v1/audio-analysis/2N5zMZX7YeL1tico8oQxa9,182066,4
Welcome to the Black Parade,My Chemical Romance,2006-10-23,78,5wQnmLuC1W7ATsArWACrgW,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']",0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,audio_features,spotify:track:5wQnmLuC1W7ATsArWACrgW,https://api.spotify.com/v1/tracks/5wQnmLuC1W7ATsArWACrgW,https://api.spotify.com/v1/audio-analysis/5wQnmLuC1W7ATsArWACrgW,311107,4
Picture To Burn,Taylor Swift,2006-10-24,71,32mVHdy0bi1XKgr0ajsBlG,['pop'],0.658,0.877,7,-2.098,1,0.0323,0.173,0.0,0.0962,0.821,105.586,audio_features,spotify:track:32mVHdy0bi1XKgr0ajsBlG,https://api.spotify.com/v1/tracks/32mVHdy0bi1XKgr0ajsBlG,https://api.spotify.com/v1/audio-analysis/32mVHdy0bi1XKgr0ajsBlG,173067,4
SexyBack (feat. Timbaland),Justin Timberlake,2006-09-12,80,0O45fw2L5vsWpdsOdXwNAR,"['dance pop', 'pop']",0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0,audio_features,spotify:track:0O45fw2L5vsWpdsOdXwNAR,https://api.spotify.com/v1/tracks/0O45fw2L5vsWpdsOdXwNAR,https://api.spotify.com/v1/audio-analysis/0O45fw2L5vsWpdsOdXwNAR,242733,4
Dani California,Red Hot Chili Peppers,2006-05-09,78,10Nmj3JCNoMeBQ87uw5j8k,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,audio_features,spotify:track:10Nmj3JCNoMeBQ87uw5j8k,https://api.spotify.com/v1/tracks/10Nmj3JCNoMeBQ87uw5j8k,https://api.spotify.com/v1/audio-analysis/10Nmj3JCNoMeBQ87uw5j8k,282160,4
So Sick,Ne-Yo,2006-01-01,80,6brl7bwOHmGFkNw3MBqssT,"['dance pop', 'pop', 'r&b', 'urban contemporary']",0.452,0.574,6,-8.336,1,0.31,0.246,0.0,0.189,0.58,92.791,audio_features,spotify:track:6brl7bwOHmGFkNw3MBqssT,https://api.spotify.com/v1/tracks/6brl7bwOHmGFkNw3MBqssT,https://api.spotify.com/v1/audio-analysis/6brl7bwOHmGFkNw3MBqssT,207187,4
Say It Right,Nelly Furtado,2006-01-01,82,2aI21FnmY7TJVKeMaoQZ0t,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",0.872,0.872,1,-6.328,1,0.139,0.0476,0.00112,0.0543,0.809,116.948,audio_features,spotify:track:2aI21FnmY7TJVKeMaoQZ0t,https://api.spotify.com/v1/tracks/2aI21FnmY7TJVKeMaoQZ0t,https://api.spotify.com/v1/audio-analysis/2aI21FnmY7TJVKeMaoQZ0t,223080,4
SOS,Rihanna,2006-04-10,77,30cSNer6TV8x2utjULVeQ5,"['barbadian pop', 'pop', 'urban contemporary']",0.677,0.671,7,-4.905,1,0.0361,0.004,5.07e-05,0.413,0.527,137.046,audio_features,spotify:track:30cSNer6TV8x2utjULVeQ5,https://api.spotify.com/v1/tracks/30cSNer6TV8x2utjULVeQ5,https://api.spotify.com/v1/audio-analysis/30cSNer6TV8x2utjULVeQ5,238920,4
Miss Murder,AFI,2006-06-06,73,0Ti2dlF2xLjXblvdU5fCxM,"['alternative metal', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'screamo']",0.308,0.873,8,-4.542,1,0.0533,0.00022,0.000729,0.0974,0.686,143.519,audio_features,spotify:track:0Ti2dlF2xLjXblvdU5fCxM,https://api.spotify.com/v1/tracks/0Ti2dlF2xLjXblvdU5fCxM,https://api.spotify.com/v1/audio-analysis/0Ti2dlF2xLjXblvdU5fCxM,206587,4
Fergalicious,Fergie,2006-09-13,70,1D066zixBwqFYqBhKgdPzp,"['dance pop', 'pop']",0.906,0.583,8,-7.721,0,0.317,0.0569,0.0,0.126,0.829,129.056,audio_features,spotify:track:1D066zixBwqFYqBhKgdPzp,https://api.spotify.com/v1/tracks/1D066zixBwqFYqBhKgdPzp,https://api.spotify.com/v1/audio-analysis/1D066zixBwqFYqBhKgdPzp,292373,4
Snow (Hey Oh),Red Hot Chili Peppers,2006-05-09,80,2aibwv5hGXSgw7Yru8IYTO,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,audio_features,spotify:track:2aibwv5hGXSgw7Yru8IYTO,https://api.spotify.com/v1/tracks/2aibwv5hGXSgw7Yru8IYTO,https://api.spotify.com/v1/audio-analysis/2aibwv5hGXSgw7Yru8IYTO,334667,4
Supermassive Black Hole,Muse,2006-06-19,79,3lPr8ghNDBLc2uZovNyLs9,"['alternative rock', 'modern rock', 'permanent wave', 'rock']",0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120.0,audio_features,spotify:track:3lPr8ghNDBLc2uZovNyLs9,https://api.spotify.com/v1/tracks/3lPr8ghNDBLc2uZovNyLs9,https://api.spotify.com/v1/audio-analysis/3lPr8ghNDBLc2uZovNyLs9,212440,4
